budget,release_date,revenue,title,month,year,rating,season,genre,profitability,name,category,characters
22000000.0,2010-02-11,0.0,Confucius,2,2010,PG-13,Winter,Drama,-22000000.0,Xun Zhou,actress,"[""Nanzi""]"
22000000.0,2010-02-11,0.0,Confucius,2,2010,PG-13,Winter,Drama,-22000000.0,Jianbin Chen,actor,"[""Ji Sunsi""]"
22000000.0,2010-02-11,0.0,Confucius,2,2010,PG-13,Winter,Drama,-22000000.0,Yun-Fat Chow,actor,"[""Confucius""]"
22000000.0,2010-02-11,0.0,Confucius,2,2010,PG-13,Winter,Drama,-22000000.0,Quan Ren,actor,"[""Yan Hui""]"
500000.0,2010-01-23,0.0,YellowBrickRoad,1,2010,R,Winter,Horror,-500000.0,Alex Draper,actor,"[""Walter Myrick""]"
500000.0,2010-01-23,0.0,YellowBrickRoad,1,2010,R,Winter,Horror,-500000.0,Cassidy Freeman,actress,"[""Erin Luger""]"
500000.0,2010-01-23,0.0,YellowBrickRoad,1,2010,R,Winter,Horror,-500000.0,Michael Laurino,actor,"[""Teddy Barnes""]"
500000.0,2010-01-23,0.0,YellowBrickRoad,1,2010,R,Winter,Horror,-500000.0,Anessa Ramsey,actress,"[""Melissa Barnes""]"
6000000.0,2010-10-22,0.0,First Dog,10,2010,PG,Fall,Family,-6000000.0,Eliza Roberts,actress,"[""First Lady""]"
6000000.0,2010-10-22,0.0,First Dog,10,2010,PG,Fall,Family,-6000000.0,Eric Roberts,actor,"[""President of the United States""]"
6000000.0,2010-10-22,0.0,First Dog,10,2010,PG,Fall,Family,-6000000.0,John-Paul Howard,actor,"[""Danny Milbright""]"
6000000.0,2010-10-22,0.0,First Dog,10,2010,PG,Fall,Family,-6000000.0,Little Bear,actor,"[""Teddy - The First Dog""]"
1200000.0,2011-10-18,0.0,Assassins' Code,10,2011,R,Fall,Action,-1200000.0,John Savage,actor,"[""Arlo""]"
