budget,release_date,revenue,title,month,year,rating,season,genre,profitability,name,category,characters
10000000.0,2010-11-05,0.0,Golmaal 3,11,2010,PG,Holiday,Comedy,-10000000.0,Ajay Devgn,actor,"[""Gopal 'Gopu'""]"
10000000.0,2010-11-05,0.0,Golmaal 3,11,2010,PG,Holiday,Comedy,-10000000.0,Kareena Kapoor,actress,"[""Daboo""]"
10000000.0,2010-11-05,0.0,Golmaal 3,11,2010,PG,Holiday,Comedy,-10000000.0,Tusshar Kapoor,actor,"[""Lucky""]"
10000000.0,2010-11-05,0.0,Golmaal 3,11,2010,PG,Holiday,Comedy,-10000000.0,Mithun Chakraborty,actor,"[""Pritam 'Pappu'""]"
10000000.0,2011-05-17,0.0,Elephant White,5,2011,R,Summer,Action,-10000000.0,Kevin Bacon,actor,"[""Jimmy""]"
10000000.0,2011-05-17,0.0,Elephant White,5,2011,R,Summer,Action,-10000000.0,Djimon Hounsou,actor,"[""Curtie Church""]"
10000000.0,2011-05-17,0.0,Elephant White,5,2011,R,Summer,Action,-10000000.0,Jirantanin Pitakporntrakul,actress,"[""Mae""]"
10000000.0,2011-05-17,0.0,Elephant White,5,2011,R,Summer,Action,-10000000.0,Markus Waldow,actor,"[""The Man with the Stopwatch""]"
5000000.0,2011-09-14,0.0,Freerunner,9,2011,R,Fall,Action,-5000000.0,Sean Faris,actor,"[""Ryan""]"
5000000.0,2011-09-14,0.0,Freerunner,9,2011,R,Fall,Action,-5000000.0,Danny Dyer,actor,"[""Mr. Frank""]"
5000000.0,2011-09-14,0.0,Freerunner,9,2011,R,Fall,Action,-5000000.0,Tamer Hassan,actor,"[""Reese""]"
5000000.0,2011-09-14,0.0,Freerunner,9,2011,R,Fall,Action,-5000000.0,Rebecca Da Costa,actress,"[""Chelsea""]"
250000.0,2012-04-18,0.0,Sol,4,2012,PG-13,Spring,Science Fiction,-250000.0,Jake White,actor,"[""Tyl""]"
250000.0,2012-04-18,0.0,Sol,4,2012,PG-13,Spring,Science Fiction,-250000.0,Jake Brown,actor,"[""Lee""]"
250000.0,2012-04-18,0.0,Sol,4,2012,PG-13,Spring,Science Fiction,-250000.0,Colin Conners,actor,"[""Badly Injured Boy""]"
250000.0,2012-04-18,0.0,Sol,4,2012,PG-13,Spring,Science Fiction,-250000.0,Caleb Courtney,actor,"[""Eli""]"
2017928.0,2010-01-23,0.0,Yu-Gi-Oh! 3D: Bonds Beyond Time,1,2010,PG,Winter,Animation,-2017928.0,Sean Schemmel,actor,"[""Paradox"",""Professor Viper""]"
2017928.0,2010-01-23,0.0,Yu-Gi-Oh! 3D: Bonds Beyond Time,1,2010,PG,Winter,Animation,-2017928.0,Dan Green,actor,"[""Yugi Moto"",""Yami Yugi""]"
2017928.0,2010-01-23,0.0,Yu-Gi-Oh! 3D: Bonds Beyond Time,1,2010,PG,Winter,Animation,-2017928.0,Matthew Labyorteaux,actor,"[""Jaden Yuki""]"
2017928.0,2010-01-23,0.0,Yu-Gi-Oh! 3D: Bonds Beyond Time,1,2010,PG,Winter,Animation,-2017928.0,Gregory Abbey,actor,"[""Yusei Fudo""]"
2000000.0,2012-09-06,0.0,Greystone Park,9,2012,R,Fall,Horror,-2000000.0,Alexander Wraith,actor,"[""Alex""]"
2000000.0,2012-09-06,0.0,Greystone Park,9,2012,R,Fall,Horror,-2000000.0,Sean Stone,actor,"[""Sean""]"
2000000.0,2012-09-06,0.0,Greystone Park,9,2012,R,Fall,Horror,-2000000.0,John Schramm,actor,"[""John""]"
