budget,release_date,revenue,title,month,year,rating,season,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
0.0,2017-01-27,0.0,Double Play,1,2017,,Winter,Drama,History,,,,,
0.0,2016-01-01,0.0,Dead West,1,2016,,Winter,Drama,Crime,Thriller,Horror,,,
1000000.0,2019-04-15,0.0,D-Day Assassins,4,2019,,Spring,War,,,,,,
0.0,2018-02-23,0.0,Broken Ceiling,2,2018,,Winter,Drama,,,,,,
762241.0,2016-09-01,285930.0,Aquarius,9,2016,,Fall,Drama,,,,,,
0.0,2016-05-21,0.0,The Blackout Experiments,5,2016,NR,Summer,Horror,Documentary,,,,,
0.0,2017-02-03,1657449.0,The Other Side of Hope,2,2017,,Winter,Comedy,Drama,,,,,
0.0,2018-10-19,0.0,Reach,10,2018,,Fall,Comedy,Drama,,,,,
0.0,2018-01-07,0.0,Dead Sexy,1,2018,,Winter,Comedy,,,,,,
0.0,2013-10-10,0.0,Trashtastic,10,2013,,Fall,Comedy,Horror,Action,,,,
0.0,2015-10-13,0.0,Roberto Carlos - Primeira Fila,10,2015,,Fall,Music,,,,,,
0.0,2016-12-02,0.0,The Eyes of My Mother,12,2016,,Holiday,Drama,Horror,,,,,
0.0,2016-05-21,0.0,The Killer in the House,5,2016,,Summer,Action,Comedy,Horror,,,,
0.0,2018-06-05,0.0,The Rake,6,2018,,Summer,Drama,Horror,Thriller,,,,
0.0,2017-04-05,0.0,Feed,4,2017,PG-13,Spring,Drama,,,,,,
0.0,2017-12-05,0.0,Out of the Wild,12,2017,,Holiday,,,,,,,
2038607.0,2018-06-20,0.0,The Unthinkable,6,2018,,Summer,Thriller,Action,Drama,Romance,,,
0.0,2017-05-05,0.0,A Happening of Monumental Proportions,5,2017,,Summer,Comedy,,,,,,
0.0,2018-01-01,0.0,Bees Make Honey,1,2018,,Winter,Comedy,Mystery,Romance,,,,
0.0,2018-06-14,0.0,Maybe a Love Story,6,2018,,Summer,Comedy,Romance,,,,,
0.0,2015-12-10,0.0,The Lesbian Diaries,12,2015,,Holiday,,,,,,,
0.0,2016-06-24,0.0,She Was So Pretty,6,2016,NR,Summer,Horror,,,,,,
0.0,2015-12-03,0.0,Chasing Banksy,12,2015,,Holiday,,,,,,,
0.0,2018-07-01,0.0,Intensive Care,7,2018,,Summer,Action,,,,,,
0.0,2018-02-06,0.0,Resolution Song,2,2018,,Winter,Drama,Family,,,,,
0.0,2018-05-07,0.0,Ouijageist,5,2018,,Summer,,,,,,,
100000.0,2019-11-05,0.0,Yinz,11,2019,,Holiday,Thriller,,,,,,
0.0,2016-07-01,0.0,#FollowFriday,7,2016,,Summer,Thriller,TV Movie,,,,,
20000.0,2016-04-01,0.0,The Enchanted Cottage,4,2016,,Spring,Drama,Romance,,,,,
0.0,2017-07-27,0.0,The Death and Life of Marsha P. Johnson,7,2017,,Summer,Documentary,,,,,,
0.0,2016-12-01,0.0,Attitude Test,12,2016,,Holiday,Comedy,,,,,,
0.0,2014-06-09,0.0,All Sinner's Night,6,2014,,Summer,,,,,,,
0.0,2016-06-01,0.0,Belly Timber,6,2016,,Summer,Horror,,,,,,
25.0,2016-04-11,0.0,From the Other Side,4,2016,,Spring,Documentary,,,,,,
0.0,2012-10-14,0.0,Wild Alaska,10,2012,,Fall,Documentary,,,,,,
0.0,2016-01-22,0.0,Nuts!,1,2016,,Winter,Documentary,,,,,,
0.0,2015-01-01,0.0,Magda,1,2015,,Winter,Action,Documentary,,,,,
0.0,2016-02-06,0.0,From Vegas To Macau III,2,2016,,Winter,Action,Comedy,,,,,
1600000.0,2017-10-12,0.0,The Stronghold,10,2017,,Fall,Action,Adventure,Comedy,Family,Fantasy,History,
0.0,2015-04-17,0.0,Swift River,4,2015,,Spring,Drama,,,,,,
0.0,2019-05-24,0.0,Assimilate,5,2019,PG-13,Summer,Science Fiction,Thriller,Horror,,,,
0.0,2017-10-20,0.0,Heal,10,2017,,Fall,Documentary,,,,,,
0.0,2016-03-30,0.0,Drone Wars,3,2016,R,Spring,Action,Science Fiction,Thriller,,,,
0.0,2018-11-20,0.0,Driver,11,2018,,Holiday,Crime,Drama,Mystery,,,,
0.0,2016-04-15,0.0,Enlighten Us: The Rise and Fall of James Arthur Ray,4,2016,,Spring,Documentary,,,,,,
0.0,2016-04-28,0.0,The Freedom to Marry,4,2016,,Spring,Documentary,,,,,,
0.0,2017-12-08,0.0,D-love,12,2017,,Holiday,Drama,,,,,,
80000.0,2016-07-16,0.0,Killer Waves,7,2016,,Summer,Horror,,,,,,
0.0,2017-03-10,0.0,"Prom King, 2010",3,2017,,Spring,Romance,Comedy,,,,,
0.0,2016-12-02,0.0,Eating You Alive,12,2016,,Holiday,Documentary,,,,,,
0.0,2017-05-16,0.0,The Hollywouldn'ts,5,2017,,Summer,Drama,Comedy,,,,,
80000.0,2015-06-15,0.0,K9 Guardians,6,2015,PG-13,Summer,Documentary,,,,,,
0.0,2016-07-01,0.0,Buddymoon,7,2016,,Summer,Comedy,,,,,,
0.0,2016-03-17,0.0,A Song For You: The Austin City Limits Story,3,2016,,Spring,Documentary,Music,,,,,
0.0,2016-07-14,0.0,Forbidden: Undocumented and Queer in Rural America,7,2016,,Summer,Documentary,,,,,,
0.0,2016-08-05,0.0,Richard Linklater: Dream Is Destiny,8,2016,NR,Summer,Documentary,,,,,,
0.0,2017-06-09,0.0,Random Tropical Paradise,6,2017,,Summer,Comedy,,,,,,
0.0,2018-05-04,0.0,Deviant Behavior,5,2018,,Summer,,,,,,,
30000.0,2016-10-11,0.0,The Trolls,10,2016,,Fall,,,,,,,
1600000.0,2016-04-02,0.0,How to Let Go of the World and Love All the Things Climate Can't Change,4,2016,,Spring,Documentary,,,,,,
0.0,2015-10-22,0.0,Wake (Subic),10,2015,,Fall,,,,,,,
20000000.0,2018-07-13,0.0,How It Ends,7,2018,,Summer,Science Fiction,Thriller,Mystery,Action,Adventure,,
0.0,2018-11-30,0.0,Blood Brother,11,2018,R,Holiday,Action,Crime,Drama,Thriller,,,
0.0,2015-12-15,0.0,The Mildew from Planet Xonader,12,2015,,Holiday,Action,Horror,Science Fiction,,,,
0.0,2017-07-28,48499.0,Person to Person,7,2017,,Summer,Drama,,,,,,
0.0,2016-03-08,0.0,Darkweb,3,2016,,Spring,Action,Thriller,,,,,
0.0,2016-10-20,229852.0,Feather,10,2016,,Fall,,,,,,,
0.0,2017-09-23,0.0,Guard Dog,9,2017,NR,Fall,Family,,,,,,
0.0,2017-09-04,0.0,Getting Naked: A Burlesque Story,9,2017,,Fall,Documentary,,,,,,
0.0,2019-01-18,0.0,Don't Come Back from the Moon,1,2019,,Winter,Drama,,,,,,
0.0,2015-12-03,0.0,Badass Monster Killer,12,2015,,Holiday,Action,Comedy,Horror,,,,
0.0,2015-11-02,0.0,Scott's Pizza Tours,11,2015,,Holiday,Documentary,,,,,,
4500.0,2015-12-19,0.0,Suedehead,12,2015,,Holiday,Drama,,,,,,
0.0,2017-10-20,106212.0,The Bachelors,10,2017,,Fall,Comedy,Drama,,,,,
0.0,2018-08-30,0.0,Ghosts of the République,8,2018,,Summer,,,,,,,
20000000.0,2018-09-07,0.0,Final Score,9,2018,R,Fall,Action,,,,,,
0.0,2016-10-06,0.0,Underfire: The Untold Story of Pfc. Tony Vaccaro,10,2016,,Fall,War,Documentary,Drama,History,,,
0.0,2016-01-24,0.0,Spa Night,1,2016,,Winter,Drama,,,,,,
0.0,2016-04-10,0.0,Love for All Seasons,4,2016,NR,Spring,,,,,,,
0.0,2016-09-22,0.0,Chasing Bubbles,9,2016,,Fall,,,,,,,
0.0,2018-11-23,0.0,Ugly Sweater Party,11,2018,,Holiday,Comedy,Horror,,,,,
0.0,2016-10-12,0.0,The Thinning,10,2016,,Fall,Thriller,Drama,,,,,
0.0,2015-01-01,0.0,My Son My Savior,1,2015,,Winter,,,,,,,
0.0,2016-06-10,0.0,Traded,6,2016,,Summer,Western,,,,,,
0.0,2015-11-20,0.0,Grateful Dead: Fare Thee Well - 50 Years of Grateful Dead (Chicago),11,2015,NR,Holiday,Music,,,,,,
0.0,2017-09-15,0.0,Puppet Master: Axis Termination,9,2017,,Fall,Fantasy,Horror,,,,,
0.0,2016-10-07,0.0,The Tribunal,10,2016,PG-13,Fall,Drama,Comedy,Romance,,,,
3500000.0,2019-02-05,0.0,Crossbreed,2,2019,,Winter,Action,Science Fiction,Thriller,,,,
0.0,2018-11-30,0.0,Dark Was the Night,11,2018,,Holiday,Drama,,,,,,
0.0,2018-03-02,0.0,You & Me,3,2018,,Spring,Comedy,Drama,Romance,,,,
0.0,2016-04-14,0.0,Contemporary Color,4,2016,,Spring,Documentary,,,,,,
0.0,2018-04-08,0.0,Atelophobia: Chapter 2,4,2018,,Spring,Horror,,,,,,
0.0,2018-10-19,0.0,American Gospel: Christ Alone,10,2018,,Fall,Documentary,,,,,,
0.0,2016-01-25,0.0,Fursonas,1,2016,,Winter,Documentary,,,,,,
0.0,2018-08-18,0.0,The Immortal Wars,8,2018,R,Summer,Action,Science Fiction,,,,,
0.0,2016-01-24,0.0,Trapped,1,2016,,Winter,Documentary,,,,,,
0.0,2016-09-02,12421716.0,No Manches Frida,9,2016,PG-13,Fall,Comedy,,,,,,
0.0,2014-08-08,0.0,Apparition Hill,8,2014,PG-13,Summer,Documentary,,,,,,
0.0,2016-09-10,0.0,The Wedding Party,9,2016,,Fall,Romance,Comedy,,,,,
0.0,2017-10-03,0.0,Don't Let the Devil In,10,2017,,Fall,Horror,,,,,,
0.0,2016-01-05,0.0,3 Knee Deep,1,2016,,Winter,,,,,,,
0.0,2016-01-22,0.0,Excursions,1,2016,,Winter,,,,,,,
0.0,2016-03-12,0.0,Ultraman X The Movie: Here He Comes! Our Ultraman,3,2016,,Spring,Fantasy,Action,Science Fiction,,,,
0.0,2016-04-16,0.0,Bad Rap,4,2016,,Spring,Music,Documentary,,,,,
0.0,2015-11-23,0.0,The Pursuit of Hippo-ness,11,2015,,Holiday,Documentary,,,,,,
485000.0,2018-08-01,0.0,Jean,8,2018,NR,Summer,Adventure,Drama,,,,,
0.0,2013-12-16,0.0,A World of Dreams: Voices from the Out100,12,2013,,Holiday,,,,,,,
0.0,2017-10-13,0.0,33 & Beyond: The Royal Art of Freemasonry,10,2017,,Fall,,,,,,,
0.0,2019-01-22,0.0,Noctambulist,1,2019,,Winter,Horror,,,,,,
0.0,2016-04-01,0.0,Killer Assistant,4,2016,,Spring,TV Movie,Thriller,Crime,Drama,,,
0.0,2017-10-10,0.0,Dead Ant,10,2017,NR,Fall,Comedy,Horror,,,,,
0.0,2016-05-15,0.0,The Untamed,5,2016,,Summer,Science Fiction,Drama,Thriller,Horror,,,
0.0,2019-11-15,0.0,Ximbi Xombix,11,2019,,Holiday,Comedy,Fantasy,Horror,,,,
0.0,2018-03-27,0.0,Moving Parts,3,2018,NR,Spring,Action,Drama,,,,,
0.0,2019-11-01,0.0,Enigma,11,2019,,Holiday,Horror,Thriller,Mystery,,,,
10000000.0,2018-01-19,0.0,Step Sisters,1,2018,,Winter,Comedy,,,,,,
0.0,2017-11-18,0.0,Beautifully Insecure,11,2017,NR,Holiday,Drama,,,,,,
0.0,2018-07-20,0.0,Generation Wealth,7,2018,,Summer,Documentary,,,,,,
0.0,2015-11-13,0.0,Letters to Santa 2,11,2015,,Holiday,Comedy,Romance,,,,,
0.0,2016-08-04,0.0,Silence After the Storm,8,2016,PG-13,Summer,Documentary,War,,,,,
0.0,2016-07-21,0.0,Dr Cheapskate,7,2016,,Summer,,,,,,,
0.0,2016-10-27,0.0,This Side of Heaven,10,2016,,Fall,,,,,,,
0.0,2016-03-12,0.0,Hymns,3,2016,,Spring,,,,,,,
0.0,2015-12-01,0.0,The Official 2015 World Series Film,12,2015,NR,Holiday,Documentary,,,,,,
0.0,2018-03-27,0.0,Proxy Kill,3,2018,,Spring,Crime,Drama,Thriller,,,,
34000000.0,2018-04-06,17904202.0,Chappaquiddick,4,2018,PG-13,Spring,Drama,Thriller,History,,,,
0.0,2016-11-06,0.0,The Christmas Project,11,2016,,Holiday,Family,,,,,,
0.0,2016-10-27,0.0,Where the Windmills Are,10,2016,,Fall,Thriller,Drama,,,,,
0.0,2016-08-27,0.0,The Left Behind,8,2016,,Summer,Drama,,,,,,
0.0,2018-06-09,0.0,Meme,6,2018,,Summer,Drama,,,,,,
63300000.0,2017-01-28,731607.0,Journey to the West: The Demons Strike Back,1,2017,PG-13,Winter,Adventure,Fantasy,Action,,,,
0.0,2018-04-06,0.0,All the Creatures Were Stirring,4,2018,,Spring,Horror,,,,,,
0.0,2016-03-04,0.0,Lo and Behold: Reveries of the Connected World,3,2016,,Spring,Documentary,,,,,,
0.0,2016-06-16,0.0,Mapplethorpe: Look at the Pictures,6,2016,,Summer,Documentary,,,,,,
0.0,2016-02-06,0.0,Michael Jackson's Journey from Motown to Off the Wall,2,2016,,Winter,Music,Documentary,,,,,
0.0,2016-01-21,0.0,Norman Lear: Just Another Version of You,1,2016,,Winter,Documentary,,,,,,
0.0,2016-01-23,0.0,Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,1,2016,,Winter,Documentary,,,,,,
0.0,2017-12-01,0.0,"Love, Cecil",12,2017,,Holiday,Documentary,,,,,,
0.0,2016-05-13,0.0,Under the Gun,5,2016,R,Summer,Documentary,,,,,,
0.0,2016-05-20,0.0,O.J.: Made in America,5,2016,,Summer,Documentary,,,,,,
0.0,2015-10-28,0.0,Moto 7: The Movie,10,2015,,Fall,Documentary,,,,,,
0.0,2017-08-04,0.0,Hell Mountain,8,2017,,Summer,Horror,,,,,,
0.0,2018-06-01,0.0,Mr. Invincible,6,2018,,Summer,Comedy,,,,,,
730.0,2015-12-10,0.0,The Lurking,12,2015,,Holiday,,,,,,,
0.0,2016-01-23,0.0,The 4th,1,2016,,Winter,Comedy,,,,,,
0.0,2016-01-24,0.0,Cyborg Hookers,1,2016,,Winter,Comedy,Science Fiction,,,,,
0.0,2016-01-22,0.0,The Bad Kids,1,2016,,Winter,Documentary,,,,,,
0.0,2016-09-23,0.0,Audrie & Daisy,9,2016,,Fall,Documentary,,,,,,
0.0,2016-01-22,0.0,Author: The JT LeRoy Story,1,2016,,Winter,Documentary,,,,,,
0.0,2016-01-25,16905.0,Holy Hell,1,2016,,Winter,Documentary,,,,,,
0.0,2016-01-23,0.0,Jim: The James Foley Story,1,2016,,Winter,Documentary,,,,,,
0.0,2016-01-24,0.0,Newtown,1,2016,,Winter,Documentary,,,,,,
0.0,2016-01-24,0.0,Kate Plays Christine,1,2016,,Winter,Documentary,Drama,,,,,
0.0,2016-05-20,0.0,Weiner,5,2016,,Summer,Documentary,,,,,,
0.0,2016-05-10,0.0,Amexico,5,2016,,Summer,Drama,,,,,,
1300000.0,2015-12-25,102986.0,The Lure,12,2015,,Holiday,Horror,Fantasy,Music,,,,
0.0,2016-01-22,0.0,Pleasure. Love.,1,2016,,Winter,Drama,,,,,,
0.0,2018-03-06,0.0,The Terrible Two,3,2018,,Spring,Horror,,,,,,
0.0,2017-09-22,0.0,Sky Ladder: The Art of Cai Guo-Qiang,9,2017,,Fall,Documentary,,,,,,
0.0,2016-01-28,0.0,Becoming Mike Nichols,1,2016,,Winter,Documentary,,,,,,
0.0,2016-06-12,0.0,Love Under New Management: The Miki Howard Story,6,2016,NR,Summer,Drama,TV Movie,,,,,
0.0,2017-10-22,0.0,Brimstone & Glory,10,2017,,Fall,Documentary,,,,,,
